Relationship,Text
located-at,"Mustang Panda has targeted government entities,  <e1> nonprofits </e1>  religious, and other non-governmental organizations in the  <e2> U. </e2>  Europe, Mongolia, Myanmar, Pakistan, and Vietnam, among others."
located-at,"AppleSeed is a backdoor that has been used by Kimsuky to target South Korean  <e1> government </e1>  <e2> South Korean </e2> government, academic, and commercial targets since at least 2021."
targets,"<e1> AppleSeed </e1> is a backdoor that has been used by Kimsuky to target South Korean  <e2> government </e2>  academic, and commercial targets since at least 2021."
actived-on,<e1> HyperStack </e1> is a RPC-based backdoor used by Turla since at least  <e2> 2018 </e2>  HyperStack has similarities to other backdoors used by Turla including Carbon.
located-at,"BITTER has primarily targeted government, energy, and  <e1> engineering </e1> organizations in Pakistan, China,  <e2> Bangladesh </e2>  and Saudi Arabia."
targets,"<e1> Ke3chang </e1> has targeted oil, government, diplomatic, military, and NGOs in Central and  <e2> South America </e2>  the Caribbean, Europe, and North America since at least 2010."
targets,"<e1> Earth Lusca </e1> has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the  <e2> United Arab Emirates </e2>  Nigeria, Germany, France, and the United States."
located-at,"Ke3chang has targeted oil, government, diplomatic, military, and  <e1> NGO </e1>  in Central and  <e2> South America </e2>  the Caribbean, Europe, and North America since at least 2010."
originates-from,<e1> APT41 </e1> is a threat group that researchers have assessed as  <e2> Chinese </e2> state-sponsored espionage group that also conducts financially-motivated operations.
located-at,"BADHATCH has been used to target the  <e1> insurance </e1>  retail, technology, and chemical industries in the United States, Canada,  <e2> South Africa </e2>  Panama, and Italy."
actived-on,"<e1> AvosLocker </e1> is ransomware written in C++ that has been offered via the Ransomware-as-a-Service (RaaS) model. It was first observed in  <e2> June 2021 </e2> and has been used against financial services, critical manufacturing, government facilities, and other critical infrastructure sectors in the United States."
hosts,"<e1> Nomadic Octopus </e1> is a Russian-speaking  <e2> cyber espionage </e2> threat group that has primarily targeted Central Asia, including local governments, diplomatic missions, and individuals, since at least 2014."
belongs-to,"<e1> Zeroaccess </e1> is a  <e2> kernel-mode Rootkit </e2> that attempts to add victims to the ZeroAccess botnet, often for monetary gain."
targets,<e1> AdFind </e1> is a free command-line query tool that can be used for gathering information from  <e2> Active </e2> Directory.
targets,"National Cyber Security Centre (NCSC), which said it's observed an uptick in  <e1> ransomware </e1> incidents targeting  <e2> educational institutions </e2> at least since August 2020, while urging schools and universities to implement a ""defence in depth"" strategy to defend against such malware attacks."
targets,TV has been defaced by  <e1> Bangladeshi hacker </e1>  <e2> BCCI </e2> TV has been defaced by Bangladeshi hacker who goes by the name Ashik Iqbal Chy.
targets,"<e1> Elderwood </e1> is a suspected Chinese cyber espionage group that was reportedly responsible for the 2009 Google intrusion known as Operation Aurora. The group has targeted defense organizations, supply chain manufacturers,  <e2> human rights </e2> and nongovernmental organizations (NGOs), and IT service providers."
targets,"<e1> xCaon </e1> has been used to target  <e2> political entities </e2> in Central Asia, including Kyrgyzstan and Uzbekistan."
located-at,"Active since at least 2009, Leviathan has targeted the following sectors:  <e1> academia </e1>  aerospace/aviation, biomedical, defense industrial base, government, healthcare, manufacturing, maritime, and transportation across the US, Canada,  <e2> Europe </e2>  the Middle East, and Southeast Asia."
uses,<e1> Threat Group-1314 </e1> is an unattributed threat group that has used  <e2> compromised credentials </e2> to log into a victim's remote access infrastructure.
belongs-to,<e1> BackConfig </e1> is a custom  <e2> Trojan </e2> with a flexible plugin architecture that has been used by Patchwork.
associated-with,"<e1> Winnti </e1> Group is a threat group with Chinese origins that has been active since at least 2010. Some reporting suggests a number of other groups, including Axiom, APT17, and  <e2> Ke3chang </e2>  are closely linked to Winnti Group."
uses,BBK is a downloader that has been used by  <e1> BRONZE BUTLER </e1>  <e2> BBK </e2> is a downloader that has been used by BRONZE BUTLER since at least 2019.
located-at,"Since at least 2017, MuddyWater has targeted a range of government and private organizations across sectors, including telecommunications, local government,  <e1> defense </e1>  and oil and natural gas organizations, in the  <e2> Middle East </e2>  Asia, Africa, Europe, and North America."
targets,"<e1> TEMP. Veles </e1> is a Russia-based threat group that has targeted  <e2> critical infrastructure </e2>  The group has been observed utilizing TRITON, a malware framework designed to manipulate industrial safety systems."
compromises,"BlackTech has used a combination of custom malware, dual-use tools, and <e1>  living off the land tactic </e1>  to compromise media,  <e2> construction </e2>  engineering, electronics, and financial company networks."
located-at,"Active since at least 2009, Leviathan has targeted the following sectors: academia, aerospace/ <e1> aviation </e1>  biomedical, defense industrial base, government, healthcare, manufacturing, maritime, and transportation across the US, Canada,  <e2> Europe </e2>  the Middle East, and Southeast Asia."
located-at,Carbon has been selectively used by Turla to target government and  <e1> foreign affairs </e1> related organizations in  <e2> Central Asia </e2>.
located-at,"Since at least 2017, MuddyWater has targeted a range of  <e1> government </e1> and private organizations across sectors, including telecommunications, local government, defense, and oil and natural gas organizations, in the Middle East, Asia, Africa,  <e2> Europe </e2>  and North America."
targets,"<e1> Zeus Panda </e1> s original source code was leaked in 2011, allowing threat actors to use its source code as a basis for new malware variants. It is mainly used to target Windows operating systems ranging from Windows XP through  <e2> Windows 10 </e2>."
targets,<e1> Lazarus Group </e1> is a North Korean state-sponsored cyber threat group that has been attributed to the Reconnaissance General Bureau. The group has been active since at least 2009 and was reportedly responsible for the November 2014 destructive wiper attack against  <e2> Sony Pictures Entertainment </e2> as part of a campaign named Operation Blockbuster by Novetta.
originates-from,"<e1> Night Dragon </e1> was a cyber espionage campaign that targeted oil, energy, and petrochemical companies, along with individuals and executives in Kazakhstan, Taiwan, Greece, and the United States. Based on the observed techniques, tools, and network activities, security researchers assessed the campaign involved a threat group based in  <e2> China </e2>."
associated-with,Individual members of  <e1> menuPass </e1> are known to have acted in association with the Chinese Ministry of State Security's (MSS) Tianjin State Security Bureau and worked for the  <e2> Huaying Haitai Science and Technology Development </e2> Company.
actived-on,"Active since at least 2009,  <e1> Leviathan </e1>  <e2> 2009 </e2>  Leviathan has targeted the following sectors: academia, aerospace/aviation, biomedical, defense industrial base, government, healthcare, manufacturing, maritime, and transportation across the US, Canada, Europe, the Middle East, and Southeast Asia."
associated-with,"<e1> North Korean group </e1> definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name  <e2> Lazarus Group </e2> instead of tracking clusters or subgroups."
